epi_week,state,from_date,to_date,difference
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-26,1897-02-01,7
189704,PA,1897-01-26,1897-02-01,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,PA,1897-01-24,1897-01-30,7
189704,RI,1897-01-24,1897-01-30,7
189704,RI,1897-01-24,1897-01-30,7
189704,RI,1897-01-24,1897-01-30,7
189704,RI,1897-01-24,1897-01-30,7
189704,SC,1897-01-24,1897-01-30,7
189704,TN,1897-01-24,1897-01-30,7
189704,TN,1897-01-24,1897-01-30,7
189704,TX,1897-01-24,1897-01-30,7
189704,TX,1897-01-24,1897-01-30,7
189704,TX,1897-01-23,1897-01-29,7
189704,TX,1897-01-23,1897-01-29,7
189704,TX,1897-01-23,1897-01-29,7
189704,UT,1897-01-24,1897-01-30,7
189704,VA,1897-01-25,1897-01-31,7
189704,VA,1897-01-24,1897-01-30,7
189704,VA,1897-01-24,1897-01-30,7
189704,VA,1897-01-24,1897-01-30,7
189704,WA,1897-01-24,1897-01-30,7
189704,WA,1897-01-24,1897-01-30,7
189704,WI,1897-01-24,1897-01-30,7
189704,WI,1897-01-24,1897-01-30,7
189704,WI,1897-01-24,1897-01-30,7
189704,WI,1897-01-24,1897-01-30,7
189704,WI,1897-01-24,1897-01-30,7
189705,AL,1897-01-31,1897-02-06,7
189705,AL,1897-01-31,1897-02-06,7
189705,CA,1897-01-31,1897-02-06,7
189705,CA,1897-01-31,1897-02-06,7
189705,CA,1897-01-31,1897-02-06,7
189705,CO,1897-01-31,1897-02-06,7
189705,CO,1897-01-31,1897-02-06,7
189705,CO,1897-01-31,1897-02-06,7
189705,CT,1897-01-29,1897-02-04,7
189705,CT,1897-01-29,1897-02-04,7
189705,DC,1897-01-31,1897-02-06,7
189705,DC,1897-01-31,1897-02-06,7
189705,DC,1897-01-31,1897-02-06,7
189705,DC,1897-01-31,1897-02-06,7
189705,FL,1897-01-31,1897-02-06,7
189705,FL,1897-02-01,1897-02-07,7
189705,IL,1897-01-31,1897-02-06,7
189705,IL,1897-01-31,1897-02-06,7
189705,IL,1897-01-31,1897-02-06,7
189705,IL,1897-01-31,1897-02-06,7
189705,IL,1897-01-31,1897-02-06,7
189705,IN,1897-01-31,1897-02-06,7
189705,LA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-30,1897-02-05,7
189705,MA,1897-01-30,1897-02-05,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-30,1897-02-05,7
189705,MA,1897-01-30,1897-02-05,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MA,1897-01-31,1897-02-06,7
189705,MD,1897-01-31,1897-02-06,7
189705,MD,1897-01-31,1897-02-06,7
189705,MD,1897-01-31,1897-02-06,7
189705,MD,1897-01-31,1897-02-06,7
189705,MI,1897-01-31,1897-02-06,7
189705,MI,1897-01-31,1897-02-06,7
189705,MN,1897-02-02,1897-02-08,7
189705,MN,1897-02-02,1897-02-08,7
189705,MN,1897-02-02,1897-02-08,7
189705,MN,1897-02-02,1897-02-08,7
189705,MO,1897-01-31,1897-02-06,7
189705,MO,1897-01-31,1897-02-06,7
189705,MO,1897-01-31,1897-02-06,7
189705,MO,1897-01-31,1897-02-06,7
189705,NE,1897-01-31,1897-02-06,7
189705,NE,1897-01-31,1897-02-06,7
189705,NH,1897-01-31,1897-02-06,7
189705,NJ,1897-01-31,1897-02-06,7
189705,NJ,1897-01-31,1897-02-06,7
189705,NJ,1897-02-01,1897-02-07,7
189705,NJ,1897-02-01,1897-02-07,7
189705,NJ,1897-02-01,1897-02-07,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-30,1897-02-05,7
189705,NY,1897-01-30,1897-02-05,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
189705,NY,1897-01-31,1897-02-06,7
